"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"3B","Adrian Beltre",4300,"HOU@TEX 08:05PM ET",8.813,"TEX"
"OF","Josh Reddick",4300,"HOU@TEX 08:05PM ET",7.970,"HOU"
"RP","Oliver Perez",4300,"WAS@PHI 07:05PM ET",2.001,"WAS"
"RP","Francisco Rodriguez",4300,"WAS@PHI 07:05PM ET",1.471,"WAS"
"RP","Ryan Madson",4300,"WAS@PHI 07:05PM ET",3.798,"WAS"
"RP","Joe Blanton",4300,"WAS@PHI 07:05PM ET",1.763,"WAS"
"RP","Brandon Kintzler",4300,"WAS@PHI 07:05PM ET",2.297,"WAS"
"RP","Shawn Kelley",4300,"WAS@PHI 07:05PM ET",1.633,"WAS"
"RP","Sean Doolittle",4300,"WAS@PHI 07:05PM ET",3.565,"WAS"
"RP","Neil Ramirez",4300,"WAS@PHI 07:05PM ET",2.583,"WAS"
"RP","Sammy Solis",4300,"WAS@PHI 07:05PM ET",2.034,"WAS"
"SP","Jacob Turner",4300,"WAS@PHI 07:05PM ET",3.497,"WAS"
"RP","Enny Romero",4300,"WAS@PHI 07:05PM ET",3.154,"WAS"
"RP","Trevor Gott",4300,"WAS@PHI 07:05PM ET",-2.913,"WAS"
"RP","Koda Glover",4300,"WAS@PHI 07:05PM ET",1.787,"WAS"
"OF","David Peralta",4300,"SF@ARI 09:40PM ET",7.566,"ARI"
"SP","Pierce Johnson",4300,"SF@ARI 09:40PM ET",4.450,"SF"
"SP","Andrew Suarez",4300,"SF@ARI 09:40PM ET",0,"SF"
"RP","Kenley Jansen",4300,"SD@LAD 10:10PM ET",5.205,"LAD"
"RP","Josh Ravin",4300,"SD@LAD 10:10PM ET",2.736,"LAD"
"RP","Tony Watson",4300,"SD@LAD 10:10PM ET",2.396,"LAD"
"RP","Josh Fields",4300,"SD@LAD 10:10PM ET",3.432,"LAD"
"RP","Pedro Baez",4300,"SD@LAD 10:10PM ET",2.658,"LAD"
"RP","Tommy Layne",4300,"SD@LAD 10:10PM ET",0.539,"LAD"
"RP","Luis Avilan",4300,"SD@LAD 10:10PM ET",2.402,"LAD"
"RP","Justin Marks",4300,"SD@LAD 10:10PM ET",1.200,"LAD"
"RP","Grant Dayton",4300,"SD@LAD 10:10PM ET",1.816,"LAD"
"RP","Adam Liberatore",4300,"SD@LAD 10:10PM ET",3.125,"LAD"
"RP","Tony Cingrani",4300,"SD@LAD 10:10PM ET",2.733,"LAD"
"RP","Huston Street",4200,"LAA@CWS 08:10PM ET",3.300,"LAA"
"SP","Mike Pelfrey",4200,"LAA@CWS 08:10PM ET",5.414,"CWS"
"RP","Deolis Guerra",4200,"LAA@CWS 08:10PM ET",3.350,"LAA"
"RP","Andrew Bailey",4200,"LAA@CWS 08:10PM ET",3.620,"LAA"
"RP","Blake Parker",4200,"LAA@CWS 08:10PM ET",3.801,"LAA"
"RP","Jose Alvarez",4200,"LAA@CWS 08:10PM ET",1.927,"LAA"
"1B","Jose Abreu",4200,"LAA@CWS 08:10PM ET",9.147,"CWS"
"RP","Brooks Pounders",4200,"LAA@CWS 08:10PM ET",1.223,"LAA"
"RP","Cam Bedrosian",4200,"LAA@CWS 08:10PM ET",3.468,"LAA"
"RP","Keynan Middleton",4200,"LAA@CWS 08:10PM ET",2.774,"LAA"
"RP","Zack Burdi",4200,"LAA@CWS 08:10PM ET",0,"CWS"
"1B","Justin Smoak",4200,"TOR@BOS 07:10PM ET",8.275,"TOR"
"1B/OF","Jose Martinez",4200,"CHC@STL 08:15PM ET",6.110,"STL"
"SP","Juan Nicasio",4200,"CHC@STL 08:15PM ET",3.045,"STL"
"SP","Eddie Butler",4200,"CHC@STL 08:15PM ET",7.923,"CHC"
"RP","Mike Mayers",4200,"CHC@STL 08:15PM ET",-0.900,"STL"
"OF","Kyle Schwarber",4200,"CHC@STL 08:15PM ET",6.912,"CHC"
"RP","David Phelps",4200,"SEA@OAK 10:05PM ET",3.268,"SEA"
"RP","Yohander Mendez",4200,"HOU@TEX 08:05PM ET",1.200,"TEX"
"3B/SS","Alex Bregman",4200,"HOU@TEX 08:05PM ET",7.797,"HOU"
"RP","Francis Martes",4200,"HOU@TEX 08:05PM ET",4.900,"HOU"
"2B","Daniel Murphy",4200,"WAS@PHI 07:05PM ET",8.613,"WAS"
"3B","Anthony Rendon",4200,"WAS@PHI 07:05PM ET",8.782,"WAS"
"RP","Bryan Morris",4200,"SF@ARI 09:40PM ET",1.713,"SF"
"RP","Mark Melancon",4200,"SF@ARI 09:40PM ET",2.284,"SF"
"RP","Sam Dyson",4200,"SF@ARI 09:40PM ET",1.525,"SF"
